country name,"Government expenditure per student,Primary,% of GDP per capita,1999","Government expenditure per student,Primary,% of GDP per capita,2017","Government expenditure per student,Secondary,% of GDP per capita,1999","Government expenditure per student,Secondary,% of GDP per capita,2017","Government expenditure per student,Tertiary,% of GDP per capita,1999","Government expenditure per student,Tertiary,% of GDP per capita,2017","Government expenditure on education,% of GDP,2017","Government expenditure on education,% of total government expenditure,2017","Trained teachers,Primary,% of total,2017","Trained teachers,Secondary,% of total,2017","Pupil-teacher ratio,Primary,pupils per teacher,2017","Pupil-teacher ratio,Secondary,pupils per teacher,2017",Government expenditure per student Primary,Government expenditure per student Primary,Government expenditure per student Secondary,Government expenditure per student Secondary,Government expenditure per student Tertiary,Government expenditure per student Tertiary,Government expenditure on education Unnamed: 7_level_1,Government expenditure on education 2014-2017,Trained teachers 2014-2017,Trained teachers 2014-2017,Pupil-teacher ratio 2014-2017,Pupil-teacher ratio 2014-2017
Afghanistan,..,9.7,..,10.7,..,..,3.9,15.7,..,..,44,39,..,9.7,..,10.7,..,..,3.9,15.7,..,..,44,39
Albania,..,29.8,..,9.8,..,14.8,4.0,13.6,..,..,18,12,..,29.8,..,9.8,..,14.8,4.0,13.6,..,..,18,12
Algeria,12.2,..,21.2,..,..,..,..,..,100.0,..,24,..,12.2,..,21.2,..,..,..,..,..,100.0,..,24,..
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,12.7,..,13.6,..,23.7,3.2,..,100.0,100.0,11,8,..,12.7,..,13.6,..,23.7,3.2,..,100.0,100.0,11,8
Angola,..,..,..,..,..,..,..,..,..,51.5,50,27,..,..,..,..,..,..,..,..,..,51.5,50,27
Antigua and Barbuda,..,..,..,..,..,..,..,..,55.2,51.2,12,10,..,..,..,..,..,..,..,..,55.2,51.2,12,10
Argentina,12.5,15.4,16.7,21.8,17.7,16.3,5.6,13.4,..,..,..,..,12.5,15.4,16.7,21.8,17.7,16.3,5.6,13.4,..,..,..,..
Armenia,..,11.2,..,..,..,9.7,2.8,10.2,..,..,..,..,..,11.2,..,..,..,9.7,2.8,10.2,..,..,..,..
Aruba,11.6,..,18.6,..,31.5,97.3,6.1,..,..,..,..,..,11.6,..,18.6,..,31.5,97.3,6.1,..,..,..,..,..
Australia,16.8,18.8,..,17.2,..,21.5,5.3,14.1,..,..,..,..,16.8,18.8,..,17.2,..,21.5,5.3,14.1,..,..,..,..
Austria,24.4,23.2,29.3,27.3,51.6,36.0,5.5,10.7,..,..,10,9,24.4,23.2,29.3,27.3,51.6,36.0,5.5,10.7,..,..,10,9
Azerbaijan,..,..,..,..,..,23.3,2.9,8.2,98.0,..,15,..,..,..,..,..,..,23.3,2.9,8.2,98.0,..,15,..
"Bahamas, The",..,..,..,..,..,..,..,..,90.1,84.8,19,12,..,..,..,..,..,..,..,..,90.1,84.8,19,12
Bahrain,..,11.2,..,17.5,..,..,2.3,7.2,83.7,84.7,12,10,..,11.2,..,17.5,..,..,2.3,7.2,83.7,84.7,12,10
Bangladesh,..,..,10.3,10.2,41.7,30.8,1.5,11.4,50.4,66.5,30,34,..,..,10.3,10.2,41.7,30.8,1.5,11.4,50.4,66.5,30,34
Barbados,10.5,20.7,17.3,27.9,52.9,..,4.7,12.9,79.8,47.4,14,18,10.5,20.7,17.3,27.9,52.9,..,4.7,12.9,79.8,47.4,14,18
Belarus,..,..,..,35.9,..,18.0,4.8,12.3,99.6,93.8,19,8,..,..,..,35.9,..,18.0,4.8,12.3,99.6,93.8,19,8
Belgium,..,22.1,..,..,..,32.3,6.6,12.2,..,..,11,9,..,22.1,..,..,..,32.3,6.6,12.2,..,..,11,9
Belize,16.9,16.0,18.0,26.8,..,30.2,7.1,21.7,72.8,54.1,20,17,16.9,16.0,18.0,26.8,..,30.2,7.1,21.7,72.8,54.1,20,17
Benin,10.9,9.2,22.2,10.8,192.5,73.0,4.0,18.8,68.3,18.0,44,11,10.9,9.2,22.2,10.8,192.5,73.0,4.0,18.8,68.3,18.0,44,11
Bermuda,..,8.2,..,12.1,..,..,1.5,..,100.0,100.0,10,6,..,8.2,..,12.1,..,..,1.5,..,100.0,100.0,10,6
Bhutan,..,..,..,32.1,..,..,7.1,24.0,100.0,100.0,35,11,..,..,..,32.1,..,..,7.1,24.0,100.0,100.0,35,11
Bolivia,14.3,..,11.8,..,..,..,..,..,58.2,56.6,19,21,14.3,..,11.8,..,..,..,..,..,58.2,56.6,19,21
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,17,9,..,..,..,..,..,..,..,..,..,..,17,9
Botswana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,10.7,20.2,..,21.7,56.3,33.3,6.2,16.2,..,..,20,17,10.7,20.2,..,21.7,56.3,33.3,6.2,16.2,..,..,20,17
Brunei Darussalam,..,8.9,..,23.8,..,32.1,4.4,11.4,85.3,89.9,10,9,..,8.9,..,23.8,..,32.1,4.4,11.4,85.3,89.9,10,9
Bulgaria,12.5,..,14.3,..,12.8,..,..,..,..,..,18,13,12.5,..,14.3,..,12.8,..,..,..,..,..,18,13
Burkina Faso,..,16.0,..,17.6,..,334.0,4.2,18.0,85.8,58.2,41,23,..,16.0,..,17.6,..,334.0,4.2,18.0,85.8,58.2,41,23
Burundi,12.0,..,53.6,..,1035.3,..,4.3,20.4,100.0,100.0,50,28,12.0,..,53.6,..,1035.3,..,4.3,20.4,100.0,100.0,50,28
Cabo Verde,..,17.1,..,20.2,..,39.3,5.2,16.4,93.4,93.7,21,16,..,17.1,..,20.2,..,39.3,5.2,16.4,93.4,93.7,21,16
Cambodia,5.6,..,10.8,..,..,..,..,..,100.0,..,42,..,5.6,..,10.8,..,..,..,..,..,100.0,..,42,..
Cameroon,..,..,..,..,..,..,3.1,15.5,81.2,53.9,45,19,..,..,..,..,..,..,3.1,15.5,81.2,53.9,45,19
Canada,..,17.6,..,..,43.0,36.6,..,..,..,..,..,..,..,17.6,..,..,43.0,36.6,..,..,..,..,..,..
Cayman Islands,..,..,..,..,..,..,..,..,100.0,100.0,16,11,..,..,..,..,..,..,..,..,100.0,100.0,16,11
Central African Republic,..,..,..,..,..,..,..,..,..,45.4,83,32,..,..,..,..,..,..,..,..,..,45.4,83,32
Chad,9.4,..,29.4,..,442.1,..,..,..,..,44.0,57,27,9.4,..,29.4,..,442.1,..,..,..,..,44.0,57,27
Channel Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,13.8,18.0,14.2,18.2,18.5,19.7,5.4,21.2,..,..,18,18,13.8,18.0,14.2,18.2,18.5,19.7,5.4,21.2,..,..,18,18
China,5.9,..,11.4,..,89.1,..,..,..,..,..,17,13,5.9,..,11.4,..,89.1,..,..,..,..,..,17,13
"Hong Kong SAR, China",12.2,14.9,..,22.2,..,23.0,3.3,17.8,96.9,97.2,14,12,12.2,14.9,..,22.2,..,23.0,3.3,17.8,96.9,97.2,14,12
"Macao SAR, China",7.5,..,10.1,39.9,53.6,23.2,3.1,..,98.2,90.7,14,10,7.5,..,10.1,39.9,53.6,23.2,3.1,..,98.2,90.7,14,10
Colombia,15.5,18.1,16.4,17.5,38.4,16.3,4.4,15.2,94.7,98.3,24,26,15.5,18.1,16.4,17.5,38.4,16.3,4.4,15.2,94.7,98.3,24,26
Comoros,9.2,..,..,..,..,..,4.3,15.3,..,..,19,5,9.2,..,..,..,..,..,4.3,15.3,..,..,19,5
"Congo, Dem. Rep.",..,..,..,..,..,..,1.5,11.7,..,..,33,14,..,..,..,..,..,..,1.5,11.7,..,..,33,14
"Congo, Rep.",..,..,..,..,..,..,4.6,8.0,..,..,..,..,..,..,..,..,..,..,4.6,8.0,..,..,..,..
Costa Rica,17.3,24.7,23.9,23.9,..,38.9,7.4,..,93.8,96.2,12,13,17.3,24.7,23.9,23.9,..,38.9,7.4,..,93.8,96.2,12,13
Cote d'Ivoire,14.6,13.4,42.0,23.5,143.6,123.6,4.4,18.6,100.0,100.0,42,26,14.6,13.4,42.0,23.5,143.6,123.6,4.4,18.6,100.0,100.0,42,26
Croatia,..,..,..,..,35.4,..,..,..,..,..,14,7,..,..,..,..,35.4,..,..,..,..,..,14,7
Cuba,25.1,..,37.2,..,77.9,..,..,..,100.0,100.0,9,9,25.1,..,37.2,..,77.9,..,..,..,100.0,100.0,9,9
Curacao,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,15.8,32.2,26.0,39.4,44.1,29.3,6.4,16.3,..,..,12,10,15.8,32.2,26.0,39.4,44.1,29.3,6.4,16.3,..,..,12,10
Czech Republic,10.4,14.9,20.1,23.7,31.3,21.0,5.8,13.9,..,..,..,..,10.4,14.9,20.1,23.7,31.3,21.0,5.8,13.9,..,..,..,..
Denmark,24.1,..,37.3,..,64.4,..,..,..,..,..,..,..,24.1,..,37.3,..,64.4,..,..,..,..,..,..,..
Djibouti,41.8,37.9,..,0.7,..,..,..,..,100.0,100.0,30,23,41.8,37.9,..,0.7,..,..,..,..,100.0,100.0,30,23
Dominica,..,15.0,..,19.2,..,..,3.4,10.5,65.7,48.6,13,11,..,15.0,..,19.2,..,..,3.4,10.5,65.7,48.6,13,11
Dominican Republic,..,14.9,..,19.1,..,..,..,..,94.9,89.9,19,19,..,14.9,..,19.1,..,..,..,..,94.9,89.9,19,19
Ecuador,3.8,9.6,8.3,5.3,..,52.5,5.0,12.6,82.3,74.1,25,22,3.8,9.6,8.3,5.3,..,52.5,5.0,12.6,82.3,74.1,25,22
"Egypt, Arab Rep.",..,10.0,..,14.0,..,..,..,..,74.1,67.3,24,15,..,10.0,..,14.0,..,..,..,..,74.1,67.3,24,15
El Salvador,9.3,15.7,8.2,15.1,9.8,12.1,3.8,15.6,95.4,92.6,28,28,9.3,15.7,8.2,15.1,9.8,12.1,3.8,15.6,95.4,92.6,28,28
Equatorial Guinea,..,..,..,..,..,..,..,..,37.2,..,23,..,..,..,..,..,..,..,..,..,37.2,..,23,..
Eritrea,12.6,..,31.3,..,361.2,..,..,..,40.9,..,39,37,12.6,..,31.3,..,361.2,..,..,..,40.9,..,39,37
Estonia,21.0,17.9,27.4,18.1,32.0,33.6,5.2,13.0,..,..,11,9,21.0,17.9,27.4,18.1,32.0,33.6,5.2,13.0,..,..,11,9
Eswatini,8.3,..,23.1,..,433.8,..,..,..,70.0,73.2,27,16,8.3,..,23.1,..,433.8,..,..,..,70.0,73.2,27,16
Ethiopia,18.9,7.8,..,16.6,615.5,..,4.7,27.1,..,..,..,..,18.9,7.8,..,16.6,615.5,..,4.7,27.1,..,..,..,..
Faroe Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,..,..,..,..,..,..,..,..,90.1,..,20,..,..,..,..,..,..,..,..,..,90.1,..,20,..
Finland,16.8,22.0,24.9,25.8,39.0,34.6,7.1,12.4,..,..,13,13,16.8,22.0,24.9,25.8,39.0,34.6,7.1,12.4,..,..,13,13
France,17.5,17.5,28.8,26.5,30.0,33.0,5.5,9.6,..,..,..,..,17.5,17.5,28.8,26.5,30.0,33.0,5.5,9.6,..,..,..,..
French Polynesia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Gambia, The",4.7,..,..,..,..,..,3.1,10.4,87.7,94.9,39,..,4.7,..,..,..,..,..,3.1,10.4,87.7,94.9,39,..
Georgia,..,..,..,..,..,9.9,3.8,13.0,..,..,9,7,..,..,..,..,..,9.9,3.8,13.0,..,..,9,7
Germany,16.5,17.5,20.1,23.0,..,34.0,4.8,11.0,..,..,12,12,16.5,17.5,20.1,23.0,..,34.0,4.8,11.0,..,..,12,12
Ghana,17.7,..,39.9,..,..,..,4.5,20.1,55.4,76.2,27,16,17.7,..,39.9,..,..,..,4.5,20.1,55.4,76.2,27,16
Greece,..,19.7,14.4,22.6,24.5,9.2,..,..,..,..,9,8,..,19.7,14.4,22.6,24.5,9.2,..,..,..,..,9,8
Greenland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,..,47.5,..,28.1,..,11.6,10.3,42.8,64.1,44.6,16,12,..,47.5,..,28.1,..,11.6,10.3,42.8,64.1,44.6,16,12
Guam,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,6.9,11.4,4.4,5.1,..,18.1,2.8,23.1,..,..,20,11,6.9,11.4,4.4,5.1,..,18.1,2.8,23.1,..,..,20,11
Guinea,..,7.1,..,..,..,..,2.2,13.4,75.4,..,47,..,..,7.1,..,..,..,..,2.2,13.4,75.4,..,47,..
Guinea-Bissau,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guyana,..,..,..,..,..,..,6.3,18.3,..,..,..,..,..,..,..,..,..,..,6.3,18.3,..,..,..,..
Haiti,..,..,..,..,..,..,2.4,13.1,..,..,..,..,..,..,..,..,..,..,2.4,13.1,..,..,..,..
Honduras,..,..,..,..,..,40.3,6.0,22.0,..,..,26,17,..,..,..,..,..,40.3,6.0,22.0,..,..,26,17
Hungary,17.6,18.7,18.6,21.2,33.5,21.3,4.6,9.1,..,..,11,10,17.6,18.7,18.6,21.2,33.5,21.3,4.6,9.1,..,..,11,10
Iceland,21.5,23.3,18.7,20.8,38.3,25.4,7.7,18.2,..,..,10,..,21.5,23.3,18.7,20.8,38.3,25.4,7.7,18.2,..,..,10,..
India,12.3,..,25.6,..,97.9,..,..,..,69.8,..,35,28,12.3,..,25.6,..,97.9,..,..,..,69.8,..,35,28
Indonesia,..,13.3,..,10.5,24.1,..,3.6,20.5,..,..,16,15,..,13.3,..,10.5,24.1,..,3.6,20.5,..,..,16,15
"Iran, Islamic Rep.",8.7,11.2,9.4,17.7,33.2,18.3,3.8,20.0,100.0,97.5,29,19,8.7,11.2,9.4,17.7,33.2,18.3,3.8,20.0,100.0,97.5,29,19
Iraq,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ireland,10.8,11.9,16.4,16.5,27.9,18.4,3.8,13.0,..,..,..,..,10.8,11.9,16.4,16.5,27.9,18.4,3.8,13.0,..,..,..,..
Isle of Man,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,21.1,21.4,18.7,18.7,29.2,19.3,5.9,15.0,..,..,12,..,21.1,21.4,18.7,18.7,29.2,19.3,5.9,15.0,..,..,12,..
Italy,23.1,21.7,26.7,22.9,26.5,25.3,4.1,8.1,..,..,11,10,23.1,21.7,26.7,22.9,26.5,25.3,4.1,8.1,..,..,11,10
Jamaica,..,23.0,..,26.7,71.8,35.8,5.3,18.4,96.2,100.0,22,15,..,23.0,..,26.7,71.8,35.8,5.3,18.4,96.2,100.0,22,15
Japan,..,..,..,..,..,..,3.5,9.1,..,..,16,11,..,..,..,..,..,..,3.5,9.1,..,..,16,11
Jordan,14.6,13.3,16.9,17.0,77.1,22.8,3.6,12.5,100.0,100.0,21,11,14.6,13.3,16.9,17.0,77.1,22.8,3.6,12.5,100.0,100.0,21,11
Kazakhstan,..,0.3,22.0,20.2,..,8.8,2.9,11.4,100.0,100.0,21,7,..,0.3,22.0,20.2,..,8.8,2.9,11.4,100.0,100.0,21,7
Kenya,21.5,10.8,14.4,..,208.8,75.3,5.2,17.6,..,..,31,..,21.5,10.8,14.4,..,208.8,75.3,5.2,17.6,..,..,31,..
Kiribati,27.1,..,..,..,..,..,..,..,72.7,..,25,..,27.1,..,..,..,..,..,..,..,72.7,..,25,..
"Korea, Dem. Peopleâs Rep.",..,..,..,..,..,..,..,..,..,..,20,17,..,..,..,..,..,..,..,..,..,..,20,17
"Korea, Rep.",16.9,30.4,14.4,28.5,7.7,15.3,5.3,..,..,..,16,14,16.9,30.4,14.4,28.5,7.7,15.3,5.3,..,..,..,16,14
Kosovo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kuwait,17.9,..,..,..,97.3,..,..,..,78.9,..,9,8,17.9,..,..,..,97.3,..,..,..,78.9,..,9,8
Kyrgyz Republic,..,..,..,..,24.2,4.8,7.2,18.6,95.4,74.8,25,10,..,..,..,..,24.2,4.8,7.2,18.6,95.4,74.8,25,10
